ID (do not edit),Content type,Element type,Source language (EN),Target language (IT)
"{""contentId"":""0d679487-c419-438d-82e4-47b1476fb893"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h2 class=""font_4""><span>2/6&nbsp;World-Class Luxury Properties</span></h2>","<h2 class=""font_4""><span>2/6&nbsp;Weltklasse-Luxusimmobilien</span></h2>"
"{""contentId"":""008588b4-cd1d-4dd2-8641-73cdf665bf3b"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h2 class=""font_2""><span>Choose the district to explore</span></h2>","<h2 class=""font_2""><span>Wählen Sie den Bezirk aus, den Sie erkunden möchten</span></h2>"
"{""contentId"":""170eb66b-cc00-4a60-aefc-d82221559b4a"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h2 class=""font_3"">A legal disclaimer</h2>","<h2 class=""font_3"">Ein rechtlicher Haftungsausschluss</h2>"
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,,
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""1MetaDescription"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Harbour Crest is a modern residence ideally positioned for wide views of Port Hercule and Monaco’s cityscape.,Harbour Crest ist eine moderne Residenz mit idealer Lage für einen weiten Blick auf Port Hercule und das Stadtbild von Monaco.
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Private underground parking,Private Tiefgarage
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Modern apartments with sea-facing terraces,Moderne Apartments mit Terrassen zum Meer
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Harbour Crest is a modern and sought-after residence, ideally positioned to offer stunning views of the Port Hercule and Monaco cityscape.","Harbour Crest ist eine moderne und begehrte Residenz, die ideal gelegen ist und einen atemberaubenden Blick auf die Stadtlandschaft von Port Hercule und Monaco bietet."
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Harbour Crest features secure access, concierge service, and private parking facilities.","Das Harbour Crest bietet einen sicheren Zugang, einen Concierge-Service und private Parkmöglichkeiten."
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""altText"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Harbour Crest modern residential tower in Monaco with balconies overlooking Port Hercule,Moderner Wohnturm Harbour Crest in Monaco mit Balkonen mit Blick auf Port Hercule
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Contemporary architecture maximizing views and natural light.,"Zeitgenössische Architektur, die die Aussicht und das natürliche Licht maximiert."
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Concierge, Security, Elevator","Concierge, Sicherheit, Aufzug"
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"The building boasts contemporary apartments with spacious terraces and high-end finishes, attracting international clientele.","Das Gebäude verfügt über moderne Apartments mit großzügigen Terrassen und hochwertiger Ausstattung, die eine internationale Kundschaft anziehen."
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Harbour Crest,Hafenwappen
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">6.600.000 € – 17.900.000 €</p>","<p class=""font_8"">6.600.000 € – 17.900.000 €</p>"
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,90 sqm to 250 sqm,90 qm bis 250 qm
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""altText1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,View from Harbour Crest Monaco across Port Hercule with yachts and city skyline,Blick vom Harbour Crest Monaco über Port Hercule mit Yachten und der Skyline der Stadt
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,La Condamine,La Condamine
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""altText2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Exterior of Harbour Crest Monaco with stacked balconies and neutral facade facing the harbour,Außenansicht des Harbour Crest Monaco mit gestapelten Balkonen und neutraler Fassade mit Blick auf den Hafen
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""priceRent"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">Price on request</p>","<p class=""font_8"">Preis auf Anfrage</p>"
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Approx. 50 residences,Ca. 50 Wohnungen
"{""contentId"":""0ffb288d-ed85-4781-aa8f-56e9666459ec"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Modern Residence with Port Views,Moderne Residenz mit Hafenblick
"{""contentId"":""172ab6a8-b00f-4ba8-b8eb-0b44ad975ec5"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_7"">A&nbsp;zero-tax environment&nbsp;and investor-friendly regulations provide ultimate financial security.</p>","<p class=""font_7"">Ein&nbsp;Nullsteuerumfeld&nbsp;und anlegerfreundliche Vorschriften sorgen für ultimative finanzielle Sicherheit.</p>"
"{""contentId"":""184d6556-1e06-4e5a-9ee8-1269c9277578"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_9"">Discover the allure of Monaco’s most prestigious neighborhoods and explore the buildings that host the Principality’s finest apartments. AGENCE Monaco provides private client concierge and market intelligence for Monaco exclusive real estate, including luxury apartments, penthouses and villas for rent and for sale.</p>","<p class=""font_9"">Entdecken Sie den Reiz der prestigeträchtigsten Viertel Monacos und erkunden Sie die Gebäude, in denen sich die schönsten Apartments des Fürstentums befinden. AGENCE Monaco bietet Privatkunden-Concierge und Marktinformationen für exklusive Immobilien in Monaco, darunter Luxusapartments, Penthäuser und Villen zur Miete und zum Verkauf.</p>"
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,RentALL,Parking subscription nearby,Parkabonnement in der Nähe
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,RentALL,1 to 3 bedrooms; hardwood floors; palace and sea views,1 bis 3 Schlafzimmer; Hartholzböden; Palast- und Meerblick
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,RentALL,"Overlooking the neoclassical courthouse and located near the Oceanographic Museum, this exclusive cluster of residences offers refined living in the cultural heart of Monaco.","Mit Blick auf das neoklassizistische Gerichtsgebäude und in der Nähe des Ozeanographischen Museums gelegen, bietet diese exklusive Ansammlung von Residenzen gehobenes Wohnen im kulturellen Herzen von Monaco."
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,RentALL,"Ideal for cultural enthusiasts and professionals, this address delivers historic surroundings and practical comfort.",Diese Adresse ist ideal für Kulturbegeisterte und Berufstätige und bietet historische Umgebung und praktischen Komfort.
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,RentALL,Neoclassical urban living with historical context,Neoklassizistisches Stadtleben mit historischem Kontext
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,RentALL,"Elevator, video security, modern interiors","Aufzug, Videosicherheit, moderne Innenausstattung"
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,RentALL,"Each unit features parquet floors, modern kitchens, and discreet balconies with sea and palace views.","Jede Einheit verfügt über Parkettböden, moderne Küchen und diskrete Balkone mit Blick auf das Meer und den Palast."
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,RentALL,Palais de Justice View Residences,Palais de Justice Residenzen ansehen
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,RentALL,80 m² to 220 m²,80 m² bis 220 m²
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""price21"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,RentALL,Monaco-Ville,Monaco-Ville
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,RentALL,10 units,10 Einheiten
"{""contentId"":""101b974c-f79c-4d06-89d6-cf1587dae419"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,RentALL,Neoclassical Elegance with Unobstructed Vistas,Neoklassische Eleganz mit freiem Ausblick
"{""contentId"":""0c8189f3-d3d1-4e4a-9222-73cdab300e18"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h2 class=""font_4"">3/6 Strategic Investment Approaches for Maximum Returns</h2>","<h2 class=""font_4"">3/6 Strategische Anlageansätze für maximale Rendite</h2>"
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,RentALL,Public or resident garage nearby,Öffentliche oder ansässige Garage in der Nähe
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,RentALL,2 bedrooms; cathedral views; high-end renovation,2 Schlafzimmer; Blick auf die Kathedrale; High-End-Renovierung
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,RentALL,"Maison Grace is a newly restored noble residence located steps from the Cathedral of Monaco, blending ecclesiastical charm with contemporary finishes.","Maison Grace ist eine neu restaurierte Adelsresidenz, die nur wenige Schritte von der Kathedrale von Monaco entfernt liegt und kirchlichen Charme mit zeitgenössischer Ausstattung verbindet."
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,RentALL,"With its discreet elegance and walkable location to all Monaco-Ville landmarks, Maison Grace is ideal for refined living or artistic retreat.",Mit seiner diskreten Eleganz und der fußläufigen Lage zu allen Sehenswürdigkeiten von Monaco-Ville ist Maison Grace ideal für anspruchsvolles Wohnen oder künstlerischen Rückzugsort.
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,RentALL,Refined heritage restoration with ecclesiastical charm,Raffinierte Restaurierung des historischen Erbes mit kirchlichem Charme
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,RentALL,"Turnkey renovation, proximity to royal sites","Schlüsselfertige Renovierung, Nähe zu königlichen Stätten"
